subject_id,data.aligned_text,data.consensus_text,column_name,data,units,URL_front,URL_back
58746054,"[['7.8-8.3', '7.8-8.3', '8.1', '7.9-8.4']]",7.8-8.3,6th row Length Range ,7.8-8.3,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_003.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_002.jpeg
58746060,"[['2', '2', '2', '2'], ['', '', '', '(trap'], ['', '', '', 'net)']]",2 (trap net),First row Number of Fish ,2,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_035.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_034.jpeg
58746060,"[['4', '4', '4', '4'], ['', '', '', '(trap'], ['', '', '', 'net)']]",4 (trap net),Second row Number of Fish ,4,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_035.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_034.jpeg
58746060,"[['18', '18', '18', '18'], ['', '', '', '(trap'], ['', '', '', 'net)']]",18 (trap net),Third row Number of Fish ,18,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_035.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_034.jpeg
58746060,"[['26', '39', '26', '26'], ['', '', '', '(trap'], ['', '', '', 'net)']]",26 (trap net),Fourth row Number of Fish ,26,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_035.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_034.jpeg
58746060,"[['39', '11', '39', '39'], ['', '', '', '(trap'], ['', '', '', 'net)']]",39 (trap net),5th row Number of Fish ,39,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_035.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_034.jpeg
58746060,"[['11', '2', '11', '11'], ['', '', '', '(trap'], ['', '', '', 'net)']]",11 (trap net),6th row Number of Fish ,11,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_035.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_034.jpeg
58746060,"[['2', '2', '2', '2'], ['', '', '', '(trap'], ['', '', '', 'net)']]",2 (trap net),7th row Number of Fish ,2,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_035.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_034.jpeg
58746060,"[['2', '19', '2', '2'], ['', '', '', '(electrofishing)']]",2 (electrofishing),8th row Number of Fish ,2,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_035.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_034.jpeg
58746060,"[['19', '1', '19', '19'], ['', '', '', '(electrofishing)']]",19 (electrofishing),9th row Number of Fish ,19,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_035.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_034.jpeg
