"subject_id","resorts_min_n","liveries_min_n","cottages_min_n","hotels_homes_min_n","resorts_max_n","liveries_max_n","cottages_max_n","hotels_homes_max_n"
63264738,0,0,0,0,NA,NA,NA,NA
63264739,0,0,25,0,NA,NA,NA,NA
63264740,NA,1,1,NA,NA,NA,NA,NA
63264741,0,0,0,0,NA,NA,NA,NA
63264743,0,0,NA,0,NA,NA,NA,NA
63264744,0,1,20,0,NA,NA,NA,NA
63264745,0,0,0,0,NA,NA,NA,NA
63264746,0,1,30,0,NA,NA,NA,NA
63264747,0,0,210,0,NA,NA,NA,NA
63264748,2,2,4,0,NA,NA,NA,NA
63264749,0,1,17,0,NA,NA,NA,NA
63264750,0,1,15,0,NA,NA,NA,NA
63264751,0,0,1,0,NA,NA,NA,NA
63264752,0,0,12,0,NA,NA,NA,NA
63264753,NA,NA,1,NA,NA,NA,NA,NA
63264754,0,0,0,0,NA,NA,NA,NA
63264755,2,2,25,0,NA,NA,NA,NA
63264756,8,4,106,1,NA,NA,NA,NA
63264757,1,1,2,NA,NA,NA,NA,NA
63264758,0,0,0,0,NA,NA,NA,NA
63264759,0,0,0,0,NA,NA,NA,NA
63264760,2,2,10,0,NA,NA,NA,NA
63264761,1,1,5,0,NA,NA,NA,NA
63264762,0,0,0,0,NA,NA,NA,NA
63264763,NA,1,20,NA,NA,NA,NA,NA
63264764,1,1,6,0,NA,NA,NA,NA
63264765,0,0,1,0,NA,NA,NA,NA
63264766,1,2,40,0,NA,NA,NA,NA
63264767,1,2,40,0,NA,NA,NA,NA
63264768,0,0,1,0,NA,NA,NA,NA
63264769,NA,NA,NA,NA,NA,NA,NA,NA
63264770,NA,NA,25,NA,NA,NA,NA,NA
63264771,NA,1,1,NA,NA,NA,NA,NA
63264772,0,1,0,0,NA,NA,NA,NA
63264773,NA,1,35,NA,NA,NA,NA,NA
63264774,0,0,10,0,NA,NA,NA,NA
63264775,NA,NA,NA,NA,NA,NA,NA,NA
63264776,1,0,75,0,NA,NA,NA,NA
63264777,0,0,0,0,NA,NA,NA,NA
63264778,0,0,0,0,NA,NA,NA,NA
63264779,NA,NA,10,NA,NA,NA,NA,NA
63264780,1,1,54,0,NA,NA,NA,NA
63264781,0,0,0,0,NA,NA,NA,NA
63264782,1,2,2,0,NA,NA,NA,NA
63264783,1,1,54,0,NA,NA,NA,NA
63264784,0,0,30,0,NA,NA,NA,NA
63264785,0,0,0,0,NA,NA,NA,NA
63264786,NA,1,1,NA,NA,NA,NA,NA
